Incident_ID,Civilian_Officer,ORI,Gender,Race_Ethnic_Group,Asian_Race,HI_Islander_Race,Age,Injured,Injury_Level,Injury_Type,Medical_Aid,Injury_From_Preexisting_Condition,Received_Force_Location,Order_Of_Force_Specified,Order_Of_Force_Str,Received_Force,Received_Force_Type,DISCHARGE_OF_FIREARM_INDIVIDUAL,DISCHARGE_OF_FIREARM_INCIDENT,CIVILIAN_Signs_Impairment_Disability,CIVILIAN_Assaulted_Officer,CIVILIAN_Highest_Charge,CIVILIAN_Perceived_Armed,CIVILIAN_Perceived_Armed_Weapon,CIVILIAN_Firearm_Type,CIVILIAN_Resisted,CIVILIAN_Resistance_Type,CIVILIAN_Custody_Status,CIVILIAN_Confirmed_Armed,CIVILIAN_Confirmed_Armed_Weapon,CIVILIAN_K12_Type,OFFICER_Officer_Used_Force,OFFICER_Officer_Used_Force_Reason,OFFICER_On_Duty,OFFICER_Dress
URSUS-01-0600-2019-c1f,Civilian,CA0010600,male,asian_indian,,,26_30,TRUE,serious_injury,bone_fracture,treated_at_facility_released,FALSE,"head, rear_upper_back, arms_hands",TRUE,"other_physical_contact, other_control_hold",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,none,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-01-0600-2019-c1f,Officer,CA0010600,male,white,,,31_35,TRUE,injury,abrasion_laceration,no_medical_aid,FALSE,"head, front_upper_chest, arms_hands",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-01-0600-2019-c1f,Officer,CA0010600,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-1200-2019-c2f,Civilian,CA0011200,male,hispanic,,,56_60,TRUE,death,gunshot_wound,died_in_transit,FALSE,neck_throat,FALSE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,alcohol_impairment,TRUE, ,TRUE,firearm,,TRUE,passive_non_compliance,deceased,FALSE,,,,,,
URSUS-01-1200-2019-c2f,Officer,CA0011200,female,white,,,31_35,FALSE,,,,FALSE,not_applicable,,,TRUE,threat_of_firearm,FALSE,TRUE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-1300-2019-360,Civilian,CA0011300,male,white,,,36_40,TRUE,death,abrasion_laceration,died_in_transit,FALSE,"front_upper_chest, rear_legs",TRUE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,erratic,TRUE, ,TRUE,unknown,,TRUE,active_resistance,deceased,FALSE,,,,,,
URSUS-01-1300-2019-360,Officer,CA0011300,male,white,,,21_25,FALSE,,,,FALSE,"arms_hands, front_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-1300-2019-360,Officer,CA0011300,male,white,,,36_40,FALSE,,,,FALSE,"arms_hands, front_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,overcome_resistance,TRUE,patrol_uniform
URSUS-01-2100-2019-f4c,Civilian,CA0012100,male,black,,,41_45,TRUE,serious_injury,unconscious,treated_at_facility_released,FALSE,head,FALSE,other_physical_contact,TRUE,other_physical_contact,FALSE,FALSE,"drug_impairment, erratic",FALSE,148(A)(1) OBSTRUCT/ETC PUB OFCR/ETC,TRUE,other_dangerous_weapon,,TRUE,active_resistance,in_custody_other,TRUE,other_dangerous_weapon,,,,,
URSUS-01-2100-2019-f4c,Officer,CA0012100,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance",TRUE,patrol_uniform
URSUS-04-0000-2019-49b,Civilian,CA0040000,male,white,,,31_35,TRUE,serious_injury,"abrasion_laceration, cut, bruised",precautionary_measure_only,FALSE,front_upper_chest,FALSE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,erratic,TRUE,243.1 BATT ON CUSTODIAL OFFICER,FALSE,,,TRUE,fleeing,in_custody_other,FALSE,,,,,,
URSUS-04-0000-2019-49b,Officer,CA0040000,male,white,,,41_45,TRUE,injury,"abrasion_laceration, bruised",no_medical_aid,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"prevent_escape, overcome_resistance",TRUE,patrol_uniform
URSUS-04-0000-2019-49b,Officer,CA0040000,male,white,,,46_50,TRUE,injury,"abrasion_laceration, bruised",no_medical_aid,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,prevent_escape,TRUE,patrol_uniform
URSUS-04-0000-2019-49b,Officer,CA0040000,female,hispanic,,,21_25,TRUE,injury,"abrasion_laceration, bruised",no_medical_aid,FALSE,head,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,prevent_escape,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Civilian,CA0040000,male,white,,,51_55,TRUE,death,gunshot_wound,treated_on_scene,FALSE,"head, neck_throat, front_upper_chest, front_lower_abdomen, front_below_waist, arms_hands, front_legs",FALSE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,erratic,FALSE, ,TRUE,firearm,handgun,TRUE,fleeing,deceased,TRUE,firearm,,,,,
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,41_45,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,FALSE,,TRUE,plainclothes
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,plainclothes
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,FALSE,,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Officer,CA0040000,female,white,,,21_25,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,plainclothes
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,36_40,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,plainclothes
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,31_35,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,plainclothes
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-04-0000-2019-f5b,Officer,CA0040000,male,white,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,TRUE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-04-0300-2019-b1e,Civilian,CA0040300,male,hispanic,,,18_20,TRUE,serious_injury,gunshot_wound,treated_at_facility_released,FALSE,rear_upper_back,TRUE,discharge_of_firearm_hit,TRUE,discharge_of_firearm_hit,TRUE,TRUE,erratic,TRUE,245(C) ADW NOT F/ARM:PO/FIRE:GBI,FALSE,,,TRUE,assaultive,cited_and_released,FALSE,,,,,,
URSUS-04-0300-2019-b1e,Civilian,CA0040300,female,other,,,18_20,FALSE,,,,FALSE,not_applicable,TRUE,discharge_of_firearm_miss,TRUE,discharge_of_firearm_miss,TRUE,TRUE,none,FALSE, ,FALSE,,,FALSE,,none_of_these,FALSE,,,,,,
URSUS-04-0300-2019-b1e,Officer,CA0040300,male,other,,,31_35,FALSE,,,,FALSE,front_legs,,,TRUE,other_dangerous_weapon,FALSE,TRUE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance, defense",TRUE,patrol_uniform
URSUS-04-0300-2019-b1e,Officer,CA0040300,male,white,,,21_25,FALSE,,,,FALSE,not_applicable,,,TRUE,other_dangerous_weapon,FALSE,TRUE,,,,,,,,,,,,,FALSE,,TRUE,patrol_uniform
URSUS-07-0000-2019-8aa,Civilian,CA0070000,male,hispanic,,,51_55,TRUE,serious_injury,cut,critial_injuries,FALSE,"neck_throat, front_upper_chest",FALSE,"other_physical_contact, k_9_contact",TRUE,"other_physical_contact, k_9_contact",FALSE,FALSE,none,FALSE,245(A)(1) FORCE/ADW NOT FIREARM:GBI,TRUE,firearm,,TRUE,passive_non_compliance,in_custody_other,FALSE,,,,,,
URSUS-07-0000-2019-8aa,Officer,CA0070000,male,"white, other",,,46_50,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-07-0100-2019-1f9,Civilian,CA0070100,male,other,,,21_25,TRUE,serious_injury,bone_fracture,other_circumstance,FALSE,head,TRUE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,"mental_disability, drug_impairment",TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_5150,FALSE,,,,,,
URSUS-07-0100-2019-1f9,Officer,CA0070100,male,white,,,26_30,FALSE,,,,FALSE,"arms_hands, front_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,patrol_uniform
URSUS-07-0100-2019-29b,Civilian,CA0070100,female,hispanic,,,21_25,TRUE,serious_injury,unconscious,treated_at_facility_released,FALSE,"head, neck_throat",TRUE,"carotid_hold, other_control_hold, other_physical_contact",TRUE,"carotid_hold, other_control_hold, other_physical_contact",FALSE,FALSE,none,TRUE, ,FALSE,,,TRUE,assaultive,none_of_these,FALSE,,,,,,
URSUS-07-0100-2019-29b,Officer,CA0070100,male,white,,,26_30,FALSE,,,,FALSE,"head, front_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,effect_arrest,TRUE,patrol_uniform
URSUS-07-0100-2019-3eb,Civilian,CA0070100,male,black,,,41_45,TRUE,serious_injury,cut,treated_at_facility_released,FALSE,arms_hands,FALSE,k_9_contact,TRUE,k_9_contact,FALSE,FALSE,none,FALSE,69 OBSTRUCT/RESIST EXEC OFF,TRUE,unknown,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-07-0100-2019-3eb,Officer,CA0070100,male,other,,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, overcome_resistance",TRUE,patrol_uniform
URSUS-07-0100-2019-465,Civilian,CA0070100,male,black,,,36_40,TRUE,serious_injury,cut,treated_at_facility_released,FALSE,"front_legs, rear_legs",FALSE,k_9_contact,TRUE,k_9_contact,FALSE,FALSE,erratic,TRUE,273A(A) CHILD CRUELTY:POS INJ/DTH,TRUE,firearm,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-07-0100-2019-465,Officer,CA0070100,male,asian,chinese,,26_30,FALSE,,,,FALSE,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance, defense",TRUE,patrol_uniform
URSUS-07-0100-2019-465,Officer,CA0070100,male,white,,,26_30,FALSE,,,,FALSE,front_legs,,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,FALSE,,TRUE,patrol_uniform
URSUS-07-0100-2019-4bd,Civilian,CA0070100,male,hispanic,,,26_30,TRUE,serious_injury,unconscious,treated_at_facility_released,FALSE,head,TRUE,"other_control_hold, other_physical_contact",TRUE,"other_control_hold, other_physical_contact",FALSE,FALSE,erratic,TRUE,69 OBSTRUCT/RESIST EXEC OFF,FALSE,,,TRUE,assaultive,in_custody_other,FALSE,,,,,,
URSUS-07-0100-2019-4bd,Officer,CA0070100,male,white,,,26_30,FALSE,,,,FALSE,"arms_hands, front_legs, rear_legs",,,TRUE,civilian_physical,FALSE,FALSE,,,,,,,,,,,,,TRUE,"effect_arrest, prevent_escape, overcome_resistance",TRUE,patrol_uniform
